date,valid
2019-07-06,59.0
2019-07-07,64.0
2019-07-08,59.0
2019-07-09,65.0
2019-07-10,94.0
2019-07-11,73.0
2019-07-12,94.0
2019-07-13,102.0
2019-07-14,36.0
2019-07-15,22.0
2019-07-16,31.0
2019-07-17,68.0
2019-07-18,18.0
2019-07-19,25.0
2019-07-20,60.0
2019-07-21,19.0
2019-07-22,27.0
2019-07-23,28.0
2019-07-24,70.0
2019-07-25,50.0
2019-07-26,41.0
2019-07-27,68.0
2019-07-28,73.0
2019-07-29,33.0
2019-07-30,26.0
2019-07-31,34.0
2019-08-01,10.0
2019-08-02,24.0
2019-08-03,24.0
2019-08-04,45.0
2019-08-05,38.0
2019-08-06,28.0
2019-08-07,31.0
2019-08-08,35.0
2019-08-09,44.0
2019-08-10,47.0
2019-08-11,41.0
2019-08-12,13.0
2019-08-13,22.0
2019-08-14,38.0
2019-08-15,18.0
2019-08-16,28.0
2019-08-17,17.0
2019-08-18,19.0
2019-08-19,29.0
2019-08-20,29.0
2019-08-21,29.0
2019-08-22,25.0
2019-08-23,32.0
2019-08-24,28.0
2019-08-25,34.0
2019-08-26,34.0
2019-08-27,22.0
2019-08-28,20.0
2019-08-29,10.0
2019-08-30,14.0
